"Genus","OTU","pvalue","seasoncooccurrence","Process"
"Acinetobacter","Zotu3319",0.001,"Fall-Spring-Winter","TSS"
"Runella","Zotu3320",0.003,"Fall","TSS"
"Novosphingobium","Zotu3322",0.003,"Fall-Spring-Winter","TSS"
"Bacteroides","Zotu3326",0.001,"Fall-Summer","TSS"
"Ruminococcus","Zotu3328",0.001,"Fall-Spring-Winter","TSS"
"Aeromicrobium","Zotu3331",0.001,"Spring-Winter","TSS"
"uncultured","Zotu3335",0.002,"Spring","TSS"
"Acinetobacter","Zotu3337",0.001,"Fall-Summer","TSS"
"Mitochondria","Zotu3340",0.001,"Spring-Winter","TSS"
"Gordonia","Zotu3346",0.001,"Fall-Summer","TSS"
"Ferruginibacter","Zotu3347",0.001,"Fall-Spring-Winter","TSS"
"Zoogloea","Zotu3348",0.001,"Spring-Winter","TSS"
"Thiothrix","Zotu3349",0.001,"Spring-Winter","TSS"
"uncultured","Zotu3350",0.009,"Spring","TSS"
"Acinetobacter","Zotu3352",0.005,"Summer","TSS"
"uncultured","Zotu3354",0.003,"Spring-Winter","TSS"
"[Ruminococcus]_torques_group","Zotu3355",0.004,"Fall","TSS"
"Microbacterium","Zotu3357",0.029,"Summer","TSS"
"Bdellovibrio","Zotu3359",0.005,"Summer","TSS"
"Tetrasphaera","Zotu3360",0.004,"Summer","TSS"
"Acidovorax","Zotu3364",0.024,"Fall-Spring-Winter","TSS"
"Zoogloea","Zotu3369",0.042,"Summer","TSS"
"Gracilibacteria","Zotu3371",0.041,"Summer","TSS"
"Ideonella","Zotu3372",0.001,"Spring-Winter","TSS"
"Christensenellaceae_R-7_group","Zotu3373",0.026,"Summer","TSS"
"Anaerolineaceae_UCG-001","Zotu3374",0.042,"Summer","TSS"
"uncultured","Zotu3376",0.002,"Fall-Summer","TSS"
"Acinetobacter","Zotu3384",0.001,"Summer","TSS"
"Holdemanella","Zotu3386",0.034,"Fall-Spring","TSS"
"Runella","Zotu3390",0.001,"Summer","TSS"
"uncultured","Zotu3391",0.037,"Summer","TSS"
"Pajaroellobacter","Zotu3392",0.001,"Fall-Summer","TSS"
"Paludibacter","Zotu3393",0.001,"Fall-Spring-Winter","TSS"
"IMCC26207","Zotu3397",0.002,"Summer","TSS"
"Coprothermobacter","Zotu3399",0.002,"Fall-Summer","TSS"
"Raoultella","Zotu3405",0.033,"Fall-Spring-Winter","TSS"
"Chryseobacterium","Zotu3409",0.012,"Summer","TSS"
"Acinetobacter","Zotu3411",0.038,"Summer","TSS"
"Phaselicystis","Zotu3413",0.004,"Spring-Winter","TSS"
"Acetomicrobium","Zotu3416",0.016,"Fall-Spring","TSS"
"Acinetobacter","Zotu3417",0.001,"Summer","TSS"
"Cephaloticoccus","Zotu3420",0.001,"Spring-Winter","TSS"
"Flavobacterium","Zotu3423",0.001,"Spring-Winter","TSS"
"Macellibacteroides","Zotu3426",0.006,"Spring-Winter","TSS"
"uncultured","Zotu3429",0.004,"Fall-Summer","TSS"
"Curvibacter","Zotu3431",0.029,"Spring-Summer-Winter","TSS"
"Dorea","Zotu3432",0.012,"Spring","TSS"
"Syntrophorhabdus","Zotu3441",0.041,"Summer","TSS"
"WCHB1-41","Zotu3442",0.035,"Fall-Spring","TSS"
"Christensenellaceae_R-7_group","Zotu3446",0.01,"Spring-Winter","TSS"
"Rhodoferax","Zotu3447",0.001,"Fall-Spring-Winter","TSS"
"Lacunisphaera","Zotu3449",0.003,"Spring","TSS"
"Hydrogenedensaceae","Zotu3451",0.025,"Fall-Spring-Summer","TSS"
"Enterococcus","Zotu3456",0.002,"Summer","TSS"
"Alicycliphilus","Zotu3457",0.038,"Spring-Summer-Winter","TSS"
"UCG-002","Zotu3458",0.015,"Summer","TSS"
"HN-HF0106","Zotu3459",0.006,"Fall","TSS"
"uncultured","Zotu3461",0.035,"Spring-Summer-Winter","TSS"
"Flavobacterium","Zotu3463",0.031,"Fall-Spring-Winter","TSS"
"Saccharimonadales","Zotu3464",0.001,"Spring-Winter","TSS"
"Acidovorax","Zotu3466",0.007,"Summer","TSS"
"uncultured","Zotu3473",0.002,"Fall-Spring-Winter","TSS"
"Taibaiella","Zotu3478",0.001,"Fall-Summer","TSS"
"Propionivibrio","Zotu3479",0.017,"Summer","TSS"
"Haematobacter","Zotu3480",0.001,"Summer","TSS"
"A4b","Zotu3481",0.001,"Summer","TSS"
"Paracoccus","Zotu3484",0.001,"Summer","TSS"
"Paludibacter","Zotu3486",0.001,"Fall-Spring-Winter","TSS"
"Tolumonas","Zotu3487",0.001,"Fall-Spring-Winter","TSS"
"uncultured","Zotu3488",0.003,"Fall-Spring","TSS"
"uncultured","Zotu3490",0.004,"Fall-Summer","TSS"
"Flavobacterium","Zotu3491",0.014,"Fall","TSS"
"Acinetobacter","Zotu3492",0.018,"Fall-Summer","TSS"
"Bdellovibrio","Zotu3493",0.012,"Spring-Summer-Winter","TSS"
"Butyrivibrio","Zotu3499",0.037,"Fall-Summer","TSS"
"Comamonas","Zotu3500",0.001,"Spring-Summer-Winter","TSS"
"Babeliales","Zotu3503",0.014,"Fall-Summer-Winter","TSS"
"Defluviitalea","Zotu3506",0.011,"Spring-Summer","TSS"
"uncultured","Zotu3507",0.01,"Fall-Spring","TSS"
"uncultured","Zotu3508",0.015,"Fall-Summer","TSS"
"Dechloromonas","Zotu3509",0.003,"Summer","TSS"
"Pseudomonas","Zotu3513",0.011,"Fall-Spring-Winter","TSS"
"Thermoclostridium","Zotu3514",0.015,"Fall-Spring-Winter","TSS"
"Tolumonas","Zotu3518",0.001,"Summer","TSS"
"Bacteroides","Zotu3519",0.013,"Spring-Summer-Winter","TSS"
"SD04E11","Zotu3522",0.001,"Fall-Summer","TSS"
"Luteolibacter","Zotu3523",0.001,"Summer","TSS"
"Thermomonas","Zotu3524",0.001,"Fall-Spring-Winter","TSS"
"Acetobacterium","Zotu3526",0.008,"Fall-Spring-Winter","TSS"
"Comamonas","Zotu3529",0.016,"Summer","TSS"
"Rhodoferax","Zotu3531",0.001,"Summer","TSS"
"Syntrophaceticus","Zotu3536",0.007,"Summer","TSS"
"Edaphobaculum","Zotu3537",0.001,"Spring-Winter","TSS"
"Comamonadaceae","Zotu3542",0.042,"Fall-Spring","TSS"
"Coprothermobacter","Zotu3544",0.001,"Spring-Summer","TSS"
"Citrobacter","Zotu3545",0.011,"Summer","TSS"
"Macellibacteroides","Zotu3546",0.001,"Summer","TSS"
"Bacteroides","Zotu3549",0.001,"Summer","TSS"
"Acinetobacter","Zotu3551",0.018,"Summer","TSS"
"Acinetobacter","Zotu3552",0.001,"Spring-Winter","TSS"
"uncultured","Zotu3554",0.001,"Fall-Spring-Winter","TSS"
"Pseudoclavibacter","Zotu3555",0.03,"Fall-Spring-Summer","TSS"
"Nakamurella","Zotu3557",0.001,"Spring-Winter","TSS"
"Desulforhopalus","Zotu3558",0.001,"Spring-Winter","TSS"
"Akkermansia","Zotu3559",0.035,"Fall-Summer","TSS"
"Arcobacter","Zotu3562",0.002,"Summer","TSS"
"Prevotella","Zotu3565",0.013,"Winter","TSS"
"mle1-27","Zotu3566",0.003,"Summer","TSS"
"Sphingomonas","Zotu3569",0.008,"Summer","TSS"
"Malikia","Zotu3570",0.002,"Summer","TSS"
"Thiothrix","Zotu3571",0.002,"Fall-Summer","TSS"
"uncultured","Zotu3574",0.001,"Fall-Summer","TSS"
"Saccharimonadales","Zotu3577",0.009,"Summer","TSS"
"Longilinea","Zotu3579",0.001,"Spring","TSS"
"Dokdonella","Zotu3580",0.006,"Spring","TSS"
"Novosphingobium","Zotu3584",0.01,"Fall-Summer","TSS"
"Acidovorax","Zotu3585",0.047,"Summer","TSS"
"Saccharimonadales","Zotu3587",0.001,"Spring-Winter","TSS"
"Bacteroides","Zotu3589",0.001,"Summer","TSS"
"Pseudomonas","Zotu3592",0.001,"Fall-Spring-Winter","TSS"
"uncultured","Zotu3594",0.011,"Summer","TSS"
"Chiayiivirga","Zotu3596",0.014,"Fall-Spring-Winter","TSS"
"Macellibacteroides","Zotu3598",0.001,"Spring-Winter","TSS"
"Flavobacterium","Zotu3600",0.027,"Spring-Winter","TSS"
"Tolumonas","Zotu3603",0.001,"Summer","TSS"
"Chelonobacter","Zotu3604",0.024,"Spring-Summer-Winter","TSS"
"Pseudarcobacter","Zotu3608",0.039,"Spring-Winter","TSS"
"[Agitococcus]_lubricus_group","Zotu3610",0.032,"Fall-Winter","TSS"
"Fluviicola","Zotu3611",0.001,"Winter","TSS"
"Macellibacteroides","Zotu3612",0.002,"Summer","TSS"
"Bifidobacterium","Zotu3614",0.001,"Fall-Spring-Winter","TSS"
"BD1-7_clade","Zotu3615",0.025,"Fall-Summer","TSS"
"[Agitococcus]_lubricus_group","Zotu3616",0.001,"Summer","TSS"
"Comamonas","Zotu3617",0.031,"Fall-Spring","TSS"
"Lentimicrobiaceae","Zotu3618",0.017,"Fall","TSS"
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Zotu3619",0.008,"Fall-Summer","TSS"
"Herbinix","Zotu3620",0.032,"Fall-Spring-Summer","TSS"
"Herbinix","Zotu3622",0.001,"Fall-Summer","TSS"
"Arcobacter","Zotu3623",0.001,"Spring-Winter","TSS"
"Macellibacteroides","Zotu3625",0.001,"Summer-Winter","TSS"
"Holophagaceae","Zotu3627",0.039,"Fall-Summer-Winter","TSS"
"mle1-27","Zotu3628",0.002,"Fall-Summer-Winter","TSS"
"Rurimicrobium","Zotu3629",0.011,"Spring-Winter","TSS"
"SN8","Zotu3630",0.001,"Spring-Winter","TSS"
"Lautropia","Zotu3636",0.001,"Summer","TSS"
"Macellibacteroides","Zotu3641",0.001,"Summer","TSS"
"Sulfuricurvum","Zotu3642",0.001,"Spring-Winter","TSS"
"Caldicoprobacter","Zotu3643",0.011,"Fall-Spring-Winter","TSS"
"Blautia","Zotu3646",0.003,"Summer","TSS"
"Roseomonas","Zotu3648",0.001,"Spring-Winter","TSS"
"Acinetobacter","Zotu3650",0.001,"Summer","TSS"
"Actinomyces","Zotu3651",0.014,"Fall-Spring-Winter","TSS"
"uncultured","Zotu3652",0.001,"Fall-Spring-Winter","TSS"
"uncultured","Zotu3653",0.029,"Spring","TSS"
"Peptostreptococcus","Zotu3656",0.005,"Summer","TSS"
"[Eubacterium]_coprostanoligenes_group","Zotu3657",0.001,"Fall-Summer-Winter","TSS"
"Terrisporobacter","Zotu3658",0.004,"Summer","TSS"
"uncultured","Zotu3660",0.001,"Fall-Spring-Winter","TSS"
"Vitreoscilla","Zotu3662",0.001,"Fall-Summer","TSS"
"Acinetobacter","Zotu3663",0.001,"Summer","TSS"
"Dyadobacter","Zotu3664",0.007,"Fall-Summer","TSS"
"FTLpost3","Zotu3667",0.001,"Spring-Summer","TSS"
"Micropruina","Zotu3668",0.049,"Summer","TSS"
"Cloacibacterium","Zotu3671",0.003,"Summer","TSS"
"Tolumonas","Zotu3672",0.025,"Summer","TSS"
"Sphingomonas","Zotu3673",0.014,"Spring","TSS"
"Paludibacter","Zotu3674",0.041,"Summer","TSS"
"Fluviicoccus","Zotu3675",0.001,"Summer","TSS"
"Prevotella","Zotu3676",0.017,"Fall-Spring","TSS"
"Sericytochromatia","Zotu3677",0.001,"Fall-Summer","TSS"
"Lentimicrobiaceae","Zotu3678",0.046,"Summer","TSS"
"T34","Zotu3679",0.001,"Summer","TSS"
"uncultured","Zotu3681",0.001,"Summer","TSS"
"Desulfatiferula","Zotu3682",0.001,"Fall-Spring-Winter","TSS"
"Lactococcus","Zotu3683",0.01,"Summer","TSS"
"uncultured","Zotu3685",0.027,"Fall-Spring","TSS"
"uncultured","Zotu3686",0.001,"Summer","TSS"
"Empedobacter","Zotu3689",0.001,"Fall-Summer","TSS"
"Vitreoscilla","Zotu3691",0.002,"Summer","TSS"
"Williamwhitmania","Zotu3692",0.001,"Fall-Summer","TSS"
"Hydrogenophaga","Zotu3693",0.001,"Spring-Winter","TSS"
"Acinetobacter","Zotu3697",0.001,"Summer","TSS"
"Christensenellaceae_R-7_group","Zotu3699",0.003,"Fall-Spring-Winter","TSS"
"Propionivibrio","Zotu3700",0.004,"Fall-Summer","TSS"
"B55-F-B-G02","Zotu3703",0.003,"Summer","TSS"
"Bacteroides","Zotu3705",0.03,"Summer","TSS"
"Gracilibacteria","Zotu3714",0.029,"Summer","TSS"
"Anaeromusa-Anaeroarcus","Zotu3715",0.01,"Summer","TSS"
"uncultured","Zotu3716",0.001,"Fall-Spring-Winter","TSS"
"Acinetobacter","Zotu3718",0.002,"Fall-Summer","TSS"
"Bacteroides","Zotu3719",0.001,"Fall-Spring-Winter","TSS"
"SAR324_clade","Zotu3722",0.031,"Fall-Winter","TSS"
"Acinetobacter","Zotu3723",0.021,"Summer","TSS"
"Deinococcus","Zotu3724",0.021,"Summer","TSS"
"WCHB1-41","Zotu3726",0.006,"Fall","TSS"
"Acinetobacter","Zotu3728",0.001,"Fall-Summer","TSS"
"Fluviicoccus","Zotu3730",0.033,"Summer","TSS"
"Roseomonas","Zotu3735",0.001,"Fall-Spring-Winter","TSS"
"Bdellovibrio","Zotu3736",0.02,"Summer","TSS"
"Hungateiclostridium","Zotu3743",0.001,"Summer","TSS"
"Bacteroides","Zotu3744",0.02,"Fall-Spring-Winter","TSS"
"Klebsiella","Zotu3746",0.001,"Summer","TSS"
"Mycobacterium","Zotu3748",0.006,"Fall-Summer-Winter","TSS"
"Acinetobacter","Zotu3749",0.001,"Summer","TSS"
"Peredibacter","Zotu3750",0.001,"Fall-Spring-Winter","TSS"
"0319-6G20","Zotu3752",0.002,"Summer","TSS"
"Desulfobulbus","Zotu3754",0.048,"Summer","TSS"
"Chryseobacterium","Zotu3756",0.033,"Spring","TSS"
"Candidatus_Bealeia","Zotu3757",0.034,"Fall-Spring-Winter","TSS"
"Candidatus_Magasanikbacteria","Zotu3758",0.001,"Spring-Summer-Winter","TSS"
"Propionivibrio","Zotu3759",0.014,"Fall-Spring-Winter","TSS"
"Williamwhitmania","Zotu3760",0.001,"Summer","TSS"
"Arcobacter","Zotu3761",0.001,"Spring-Winter","TSS"
"Edaphobaculum","Zotu3764",0.001,"Fall-Summer","TSS"
"uncultured","Zotu3765",0.001,"Fall","TSS"
"Coprothermobacter","Zotu3766",0.001,"Summer","TSS"
"Chryseobacterium","Zotu3768",0.034,"Fall-Summer","TSS"
"Comamonas","Zotu3772",0.02,"Fall","TSS"
"Streptococcus","Zotu3776",0.001,"Summer","TSS"
"AKYH767","Zotu3777",0.004,"Fall-Spring-Winter","TSS"
"Lentimicrobiaceae","Zotu3778",0.01,"Summer","TSS"
"Tolumonas","Zotu3779",0.001,"Fall","TSS"
"Holophagaceae","Zotu3781",0.014,"Summer","TSS"
"Lutispora","Zotu3783",0.001,"Fall-Summer","TSS"
"Propionivibrio","Zotu3786",0.001,"Fall-Summer","TSS"
"Saccharimonadales","Zotu3787",0.011,"Fall-Spring-Winter","TSS"
"Arcicella","Zotu3788",0.004,"Fall-Spring-Winter","TSS"
"uncultured","Zotu3789",0.001,"Summer","TSS"
"uncultured","Zotu3792",0.005,"Summer","TSS"
"0319-6G20","Zotu3793",0.002,"Fall-Summer","TSS"
"Paludisphaera","Zotu3795",0.042,"Fall-Summer","TSS"
"uncultured","Zotu3798",0.001,"Spring-Winter","TSS"
"uncultured","Zotu3799",0.008,"Summer","TSS"
"Flavobacterium","Zotu3801",0.001,"Spring-Summer-Winter","TSS"
"Candidatus_Accumulibacter","Zotu3802",0.046,"Spring-Winter","TSS"
"Candidatus_Falkowbacteria","Zotu3805",0.002,"Fall-Summer","TSS"
"uncultured","Zotu3810",0.014,"Fall-Spring-Winter","TSS"
"Acinetobacter","Zotu3811",0.001,"Summer","TSS"
"uncultured","Zotu3813",0.002,"Fall-Spring-Winter","TSS"
"Acidovorax","Zotu3814",0.008,"Summer","TSS"
"Arcobacter","Zotu3815",0.001,"Summer","TSS"
"Tolumonas","Zotu3816",0.001,"Spring-Winter","TSS"
"Flavobacterium","Zotu3818",0.042,"Summer","TSS"
"Arcobacter","Zotu3819",0.009,"Fall-Summer","TSS"
"Verruc-01","Zotu3821",0.001,"Fall-Spring-Winter","TSS"
"Flavobacterium","Zotu3823",0.025,"Fall-Spring-Winter","TSS"
"Deinococcus","Zotu3826",0.004,"Fall-Spring-Winter","TSS"
"JGI-0000079-D21","Zotu3828",0.043,"Fall-Summer","TSS"
"uncultured","Zotu3829",0.001,"Fall-Spring-Winter","TSS"
"Syntrophothermus","Zotu3831",0.049,"Summer","TSS"
"Sulfurospirillum","Zotu3833",0.001,"Summer","TSS"
"Enterobacter","Zotu3835",0.029,"Summer","TSS"
"Raoultella","Zotu3837",0.028,"Fall-Summer","TSS"
"Keratinibaculum","Zotu3839",0.007,"Fall-Spring-Summer","TSS"
"Flavobacterium","Zotu3840",0.002,"Fall-Spring","TSS"
"UCG-010","Zotu3844",0.003,"Summer","TSS"
"Mycobacterium","Zotu3848",0.035,"Summer","TSS"
"Stenotrophomonas","Zotu3849",0.008,"Summer","TSS"
"Pseudarcobacter","Zotu3850",0.019,"Fall-Summer","TSS"
"Fervidobacterium","Zotu3854",0.008,"Fall-Spring-Winter","TSS"
"Bifidobacterium","Zotu3857",0.001,"Summer","TSS"
"Lacihabitans","Zotu3858",0.001,"Summer","TSS"
"Flavobacterium","Zotu3860",0.001,"Summer","TSS"
"uncultured","Zotu3867",0.001,"Summer","TSS"
"uncultured","Zotu3870",0.01,"Fall-Summer","TSS"
"uncultured","Zotu3871",0.034,"Fall-Summer","TSS"
"Prevotella","Zotu3872",0.001,"Fall-Spring-Winter","TSS"
"uncultured","Zotu3875",0.001,"Summer","TSS"
"Flavobacterium","Zotu3880",0.035,"Spring","TSS"
"Acinetobacter","Zotu3883",0.006,"Summer","TSS"
"Propionivibrio","Zotu3885",0.001,"Summer","TSS"
"uncultured","Zotu3887",0.001,"Spring-Winter","TSS"
"Acinetobacter","Zotu3889",0.001,"Fall","TSS"
"Comamonas","Zotu3891",0.002,"Fall-Spring-Summer","TSS"
"Rhodobacter","Zotu3895",0.011,"Fall-Spring-Winter","TSS"
"mle1-27","Zotu3897",0.043,"Summer","TSS"
"Rhodobacter","Zotu3898",0.014,"Fall-Summer-Winter","TSS"
"Desulfobulbus","Zotu3900",0.001,"Fall-Summer-Winter","TSS"
"Zoogloea","Zotu3902",0.006,"Fall","TSS"
"Dechloromonas","Zotu3903",0.008,"Summer","TSS"
"Chryseobacterium","Zotu3906",0.001,"Summer","TSS"
"uncultured","Zotu3907",0.014,"Summer","TSS"
"Acinetobacter","Zotu3908",0.001,"Summer","TSS"
"Paludibacter","Zotu3910",0.01,"Summer","TSS"
"Unknown_Family","Zotu3913",0.001,"Summer","TSS"
"Bdellovibrio","Zotu3914",0.001,"Summer","TSS"
"Phaselicystis","Zotu3918",0.003,"Summer","TSS"
"Pseudomonas","Zotu3919",0.009,"Summer","TSS"
"WCHB1-32","Zotu3924",0.035,"Fall","TSS"
"Propioniciclava","Zotu3925",0.002,"Summer","TSS"
"[Eubacterium]_brachy_group","Zotu3927",0.001,"Summer","TSS"
"UKL13-1","Zotu3932",0.01,"Fall-Summer","TSS"
"Zoogloea","Zotu3934",0.005,"Fall-Summer","TSS"
"0319-6G20","Zotu3939",0.001,"Summer","TSS"
"MSBL3","Zotu3942",0.011,"Spring-Summer","TSS"
"Lentimicrobiaceae","Zotu3943",0.001,"Fall-Spring-Winter","TSS"
"Comamonas","Zotu3945",0.001,"Summer","TSS"
"IheB3-7","Zotu3946",0.002,"Summer","TSS"
"Acinetobacter","Zotu3947",0.001,"Fall-Summer","TSS"
"Tolumonas","Zotu3948",0.002,"Fall-Spring-Winter","TSS"
"CAG-56","Zotu3953",0.001,"Fall-Summer-Winter","TSS"
"Blautia","Zotu3957",0.001,"Summer","TSS"
"UCG-010","Zotu3958",0.006,"Fall-Spring-Summer","TSS"
"uncultured","Zotu3963",0.018,"Fall","TSS"
"Cloacibacterium","Zotu3964",0.001,"Spring-Winter","TSS"
"Intestinibacter","Zotu3965",0.011,"Summer","TSS"
"Caldicoprobacter","Zotu3967",0.001,"Spring-Winter","TSS"
"Dechloromonas","Zotu3974",0.001,"Spring-Winter","TSS"
"Paludibacter","Zotu3975",0.01,"Spring-Winter","TSS"
"Defluviitalea","Zotu3979",0.001,"Fall-Spring","TSS"
"Dechloromonas","Zotu3981",0.009,"Summer","TSS"
"0319-6G20","Zotu3983",0.001,"Spring-Winter","TSS"
"Simplicispira","Zotu3985",0.015,"Fall-Summer","TSS"
"Romboutsia","Zotu3987",0.001,"Summer","TSS"
"Cloacibacterium","Zotu3988",0.012,"Fall","TSS"
"Peredibacter","Zotu3990",0.004,"Fall-Summer","TSS"
"Bdellovibrio","Zotu3991",0.001,"Summer","TSS"
"Bdellovibrio","Zotu3998",0.009,"Fall-Summer-Winter","TSS"
"uncultured","Zotu4003",0.002,"Spring-Summer-Winter","TSS"
"Flavobacterium","Zotu4004",0.016,"Fall-Summer","TSS"
"Pedobacter","Zotu4005",0.011,"Summer","TSS"
"Edaphobaculum","Zotu4006",0.026,"Fall-Spring-Winter","TSS"
"Azospira","Zotu4007",0.014,"Spring","TSS"
"Keratinibaculum","Zotu4008",0.002,"Fall-Summer","TSS"
"JGI-0000079-D21","Zotu4009",0.003,"Spring","TSS"
"Flavobacterium","Zotu4011",0.031,"Fall","TSS"
"Christensenellaceae_R-7_group","Zotu4014",0.001,"Summer","TSS"
"Actinomyces","Zotu4017",0.001,"Summer","TSS"
"Undibacterium","Zotu4019",0.03,"Fall-Summer","TSS"
"Flavobacterium","Zotu4020",0.001,"Summer","TSS"
"Arcobacter","Zotu4021",0.001,"Summer","TSS"
"Acinetobacter","Zotu4022",0.001,"Fall-Spring-Winter","TSS"
"Diaphorobacter","Zotu4023",0.001,"Summer","TSS"
"KD1-131","Zotu4026",0.008,"Fall-Summer","TSS"
"053A03-B-DI-P58","Zotu4027",0.015,"Fall-Summer","TSS"
"Klebsiella","Zotu4029",0.001,"Summer","TSS"
"Bacteroides","Zotu4030",0.007,"Spring-Summer-Winter","TSS"
"Aeromonas","Zotu4035",0.011,"Fall","TSS"
"Romboutsia","Zotu4037",0.008,"Fall-Spring-Winter","TSS"
"uncultured","Zotu4040",0.013,"Spring-Winter","TSS"
"uncultured","Zotu4041",0.001,"Fall-Spring-Winter","TSS"
"Acinetobacter","Zotu4042",0.005,"Summer","TSS"
"uncultured","Zotu4043",0.004,"Fall-Summer","TSS"
"Caedibacter","Zotu4044",0.001,"Fall-Spring-Winter","TSS"
"Megamonas","Zotu4049",0.001,"Spring-Winter","TSS"
"Cloacibacterium","Zotu4051",0.029,"Summer","TSS"
"Halomonas","Zotu4052",0.005,"Summer","TSS"
"Tolumonas","Zotu4053",0.003,"Summer","TSS"
"Propionivibrio","Zotu4054",0.021,"Summer-Winter","TSS"
"Brachymonas","Zotu4058",0.009,"Fall-Spring-Winter","TSS"
"Streptococcus","Zotu4059",0.001,"Spring-Summer-Winter","TSS"
"Thermoclostridium","Zotu4062",0.011,"Summer","TSS"
"Cloacibacterium","Zotu4067",0.041,"Summer","TSS"
"Raoultella","Zotu4070",0.001,"Summer","TSS"
"Sphingomonas","Zotu4073",0.013,"Summer","TSS"
"Saccharimonadales","Zotu4078",0.02,"Spring-Summer-Winter","TSS"
"Sutterella","Zotu4081",0.001,"Fall-Spring-Winter","TSS"
"Gracilibacteria","Zotu4083",0.001,"Spring-Winter","TSS"
"Pseudomonas","Zotu4088",0.002,"Spring","TSS"
"Tolumonas","Zotu4090",0.001,"Fall-Summer","TSS"
"Mycobacterium","Zotu4093",0.002,"Spring-Winter","TSS"
"endosymbionts","Zotu4095",0.002,"Fall-Spring","TSS"
"[Cytophaga]_xylanolytica_group","Zotu4097",0.001,"Spring-Winter","TSS"
"Dysgonomonas","Zotu4099",0.003,"Fall-Spring-Winter","TSS"
"WCHB1-32","Zotu4100",0.001,"Summer","TSS"
"Tolumonas","Zotu4101",0.038,"Summer","TSS"
"WCHB1-32","Zotu4104",0.013,"Fall-Summer","TSS"
"Propionivibrio","Zotu4105",0.029,"Spring","TSS"
"Microbacterium","Zotu4110",0.009,"Fall-Spring-Winter","TSS"
"Ideonella","Zotu4113",0.001,"Fall-Summer","TSS"
"Flavobacterium","Zotu4114",0.034,"Spring-Summer-Winter","TSS"
"SM2D12","Zotu4117",0.013,"Fall-Summer","TSS"
"Acinetobacter","Zotu4120",0.001,"Fall-Spring-Winter","TSS"
"Undibacterium","Zotu4124",0.001,"Fall-Summer","TSS"
"Tolumonas","Zotu4127",0.001,"Spring","TSS"
"Caldicoprobacter","Zotu4128",0.001,"Fall-Spring-Winter","TSS"
"Christensenellaceae_R-7_group","Zotu4130",0.001,"Spring-Winter","TSS"
"[Agitococcus]_lubricus_group","Zotu4131",0.001,"Summer","TSS"
"Flavobacterium","Zotu4133",0.028,"Fall-Spring-Winter","TSS"
"Agathobacter","Zotu4137",0.001,"Fall-Spring-Winter","TSS"
"Clostridium_sensu_stricto_1","Zotu4139",0.001,"Fall-Winter","TSS"
"Bifidobacterium","Zotu4140",0.039,"Spring-Winter","TSS"
"Williamwhitmania","Zotu4141",0.001,"Summer","TSS"
"Acinetobacter","Zotu4142",0.001,"Winter","TSS"
"Unknown_Family","Zotu4143",0.002,"Summer","TSS"
"env.OPS_17","Zotu4145",0.006,"Fall-Winter","TSS"
"Fluviicola","Zotu4147",0.002,"Fall-Spring-Winter","TSS"
"Alicycliphilus","Zotu4153",0.013,"Summer","TSS"
"Lentimicrobium","Zotu4154",0.005,"Fall","TSS"
"Selenomonas","Zotu4155",0.028,"Summer","TSS"
"Yersinia","Zotu4159",0.032,"Fall-Spring-Winter","TSS"
"Prosthecobacter","Zotu4162",0.02,"Fall","TSS"
"uncultured","Zotu4166",0.005,"Fall","TSS"
"Propioniciclava","Zotu4169",0.047,"Fall-Summer","TSS"
"Mitochondria","Zotu4171",0.003,"Summer","TSS"
"uncultured","Zotu4175",0.029,"Spring-Summer-Winter","TSS"
"Acinetobacter","Zotu4179",0.004,"Spring","TSS"
"Megamonas","Zotu4181",0.001,"Winter","TSS"
"Pseudomonas","Zotu4184",0.001,"Summer","TSS"
"uncultured","Zotu4186",0.002,"Summer","TSS"
"Luteolibacter","Zotu4189",0.005,"Summer","TSS"
"Z-35","Zotu4190",0.001,"Summer","TSS"
"Candidatus_Accumulibacter","Zotu4191",0.002,"Summer","TSS"
"Acidovorax","Zotu4192",0.005,"Fall-Winter","TSS"
"Zoogloea","Zotu4193",0.006,"Fall-Spring-Winter","TSS"
"alphaI_cluster","Zotu4196",0.025,"Summer","TSS"
"uncultured","Zotu4197",0.003,"Fall-Summer","TSS"
"Aeromonas","Zotu4199",0.045,"Spring-Winter","TSS"
"Beggiatoa","Zotu4201",0.01,"Summer","TSS"
"NK4A214_group","Zotu4206",0.002,"Spring","TSS"
"Paucibacter","Zotu4209",0.001,"Summer-Winter","TSS"
"Acinetobacter","Zotu4210",0.001,"Summer","TSS"
"Anaerovorax","Zotu4213",0.002,"Fall-Spring-Winter","TSS"
"Cloacibacterium","Zotu4216",0.015,"Winter","TSS"
"uncultured","Zotu4220",0.046,"Summer","TSS"
"Tolumonas","Zotu4223",0.007,"Fall-Spring-Winter","TSS"
"uncultured","Zotu4225",0.002,"Fall-Spring-Winter","TSS"
"Haliangium","Zotu4228",0.006,"Summer","TSS"
"Pseudarcobacter","Zotu4233",0.001,"Summer","TSS"
"Candidatus_Cryptoprodotis","Zotu4235",0.023,"Summer","TSS"
"Verrucomicrobium","Zotu4239",0.001,"Fall","TSS"
"Absconditabacteriales_","Zotu4240",0.001,"Fall-Spring-Winter","TSS"
"uncultured","Zotu4251",0.047,"Summer","TSS"
"AAP99","Zotu4255",0.001,"Summer","TSS"
